name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Robert Drysdale,7,0,0,190.5,92.99,190.5,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,43
Daniel McWilliams,15,37,0,185.42,83.91,185.42,Orthodox,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,38
Dan Molina,13,9,0,177.8,97.98,177.8,Orthodox,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,38
Paul Ruiz,7,4,0,167.64,61.23,167.64,Orthodox,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,38
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,30
Gerald Strebendt,9,7,0,175.26,70.31,175.26,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46
Isaiah Hill,5,7,1,177.8,70.31,177.8,Orthodox,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,38
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,38
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,42
Neil Grove,12,8,1,198.12,120.2,198.12,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54
Raphael Butler,9,2,1,190.5,118.39,190.5,Orthodox,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,38
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29
Ian Entwistle,9,3,0,165.1,61.23,165.1,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,38
Megumi Fujii,26,3,0,160.02,51.26,160.02,Orthodox,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,38
Gaston Reyno,6,2,0,182.88,65.77,182.88,Orthodox,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,38
Kenny Ento,14,15,0,187.96,87.09,187.96,Orthodox,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,38
AJ McKee,8,0,0,177.8,65.77,177.8,Orthodox,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,38
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,36
Philip Perez,7,5,1,165.1,70.31,165.1,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,38
Brandon Shuey,7,6,0,170.18,70.31,170.18,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,49
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,45
Johnny Sampaio,3,1,0,172.72,77.11,172.72,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,49
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,32
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,31
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,180.34,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,38
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,27
Poppies Martinez,29,11,0,175.26,65.77,175.26,Orthodox,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,38
Josh Rafferty,9,8,0,182.88,77.11,182.88,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,44
Daniel Puder,8,0,0,190.5,106.59,190.5,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,43
Yukio Sakaguchi,6,7,0,175.26,83.91,175.26,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,51
Magomed Sultanakhmedov,18,6,0,187.96,83.91,187.96,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,38
Jeff Newton,4,2,0,187.96,92.99,187.96,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,58
Emiliano Sordi,16,7,0,187.96,92.99,187.96,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,47
Fazlo Mulabitinovic,4,2,0,178.23432467873064,61.23,180.70495018353435,Orthodox,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,38
J.T Taylor,7,7,0,177.8,77.39582504970178,177.8,Orthodox,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,38
Adam Meredith,5,3,0,187.96,77.11,187.96,Orthodox,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,38
Klayton Mai,8,3,0,175.26,56.7,175.26,Orthodox,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,38
Ron Keslar,11,9,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,38
Bobby McAndrews,1,3,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,38
Ansar Chalangov,14,5,0,175.26,77.11,175.26,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,45
Jeremiah Constant,11,8,0,185.42,108.86,185.42,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,50
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,36
Eddy Millis,0,2,0,185.42,83.91,185.42,Orthodox,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,38
James Lee,15,3,0,180.34,92.99,180.34,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,51
Mikhail Iloukhine,30,11,1,175.26,92.99,175.26,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,58
Kyle Jensen,4,11,2,175.26,77.11,175.26,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,45
Ilya Kotau,1,2,0,178.23432467873064,77.11,180.70495018353435,Orthodox,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,38
Trevor Harris,2,2,0,167.64,65.77,167.64,Orthodox,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,38
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,23
Tom Erikson,9,4,1,190.5,127.01,190.5,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,38
Jason Black,23,4,1,172.72,70.31,172.72,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,52
Francisco France,13,5,1,182.88,92.99,182.88,Orthodox,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,38
John Albert,6,5,0,172.72,61.23,172.72,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,38
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,34
Neiman Gracie,6,0,0,182.88,77.11,182.88,Orthodox,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,38
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,35
Masakatsu Funaki,39,13,2,182.88,83.91,182.88,Southpaw,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,56
David Terrell,6,2,0,185.42,83.91,185.42,Southpaw,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,47
Rob MacDonald,5,4,0,190.5,92.99,198.12,Orthodox,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,46
Nick Barnes,11,2,0,180.34,77.11,180.34,Orthodox,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4,38
Matt Arroyo,3,3,0,177.8,77.11,182.88,Orthodox,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,42
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,30
Colin Robinson,10,12,0,193.04,110.22,193.04,Orthodox,6.19,69.0,7.91,37.0,2.58,100.0,50.0,5.2,56
Nick Garcia,8,3,0,162.56,56.7,162.56,Orthodox,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1,38
Justin Levens,10,7,0,180.34,83.91,180.34,Orthodox,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1,44
Mike Ciesnolevicz,19,4,0,182.88,106.59,182.88,Orthodox,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,45
Magno Almeida,10,3,0,182.88,70.31,182.88,Orthodox,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,38
George Pacurariu,10,5,0,170.18,61.23,170.18,Orthodox,4.69,53.0,2.68,63.0,5.03,100.0,100.0,5.0,38
Ronaldo Candido,6,0,0,167.64,56.7,167.64,Southpaw,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,35
Alex Schoenauer,15,10,0,190.5,83.91,190.5,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,48
Justin Guthrie,18,9,0,185.42,77.11,185.42,Orthodox,0.16,33.0,3.74,14.0,2.44,25.0,0.0,4.9,38
Billy Pasulatan,10,3,0,165.1,56.7,167.64,Switch,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,33
Aaron Ely,5,2,0,172.72,61.23,172.72,Orthodox,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9,38
Shohei Nose,10,4,2,167.64,61.23,172.72,Switch,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,27
TJ Waldburger,16,9,0,180.34,77.11,190.5,Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,36
Ronda Rousey,12,2,0,170.18,61.23,167.64,Orthodox,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,38
Nik Theotikos,6,2,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,38
Valentijn Overeem,30,32,0,190.5,104.33,190.5,Orthodox,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,48
Keith Rockel,12,4,1,182.88,83.91,182.88,Orthodox,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,38
Mark Hughes,6,2,0,175.26,92.99,175.26,Southpaw,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,51
Jimmy Flick,16,7,0,170.18,56.7,172.72,Orthodox,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,34
Kaline Medeiros,8,5,0,160.02,52.16,160.02,Orthodox,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4,38
Takeru Uchida,6,1,0,165.1,56.7,172.72,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,22
Joe Pearson,45,30,1,177.8,65.77,177.8,Orthodox,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,47
Jordan Bailey,6,3,0,175.26,65.77,175.26,Orthodox,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3,38
Branden Lee Hinkle,17,11,0,190.5,106.59,190.5,Orthodox,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,51
Goiti Yamauchi,21,3,0,177.8,65.77,177.8,Orthodox,1.66,54.0,1.01,66.0,0.0,0.0,0.0,4.3,38
Masakatsu Okuda,8,5,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,38
Wayne Cole,16,25,0,185.42,92.99,185.42,Orthodox,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,38
Jason Glaza,3,2,0,182.88,104.33,182.88,Orthodox,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3,38
Bret Bergmark,6,1,1,175.26,77.11,175.26,Orthodox,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,38
Genki Sudo,15,4,2,175.26,70.31,175.26,Orthodox,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,47
Yasuhito Namekawa,25,16,4,175.26,92.99,175.26,Orthodox,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,50
Sean McCorkle,17,7,0,200.66,120.2,205.74,Orthodox,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,48
Jeremy Lang,21,2,0,180.34,92.99,180.34,Southpaw,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,49
Rene Kronvold,5,1,0,172.72,77.11,172.72,Orthodox,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,38
Victor Hugo,24,4,0,170.18,61.23,180.34,Orthodox,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,32
Kain Royer,2,2,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,1.63,14.0,0.0,0.0,0.0,4.1,38
Rousimar Palhares,19,8,0,172.72,77.11,180.34,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,45
Clay Mitchell,1,2,0,187.96,83.91,187.96,Orthodox,1.63,85.0,0.0,0.0,0.0,0.0,100.0,4.1,38
Karine Silva,17,4,0,165.1,56.7,170.18,Orthodox,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,31
Dustin Hazelett,12,7,0,185.42,77.11,193.04,Orthodox,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,38
HanSeul Kim,13,5,0,185.42,77.11,187.96,Southpaw,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,34
Shinya Aoki,39,7,0,180.34,69.85,180.34,Southpaw,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,41
Marcus Hicks,10,4,0,167.64,70.31,162.56,Southpaw,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,49
Dan Evensen,11,4,0,190.5,113.4,190.5,Orthodox,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,50
Ralph Gracie,6,1,0,175.26,83.01,175.26,Orthodox,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,38
Charlie Kohler,8,4,1,175.26,70.31,175.26,Orthodox,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,48
Alberto Crane,15,5,0,165.1,70.31,165.1,Orthodox,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,48
Mike Hayes,20,12,2,193.04,104.33,193.04,Orthodox,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,38
Bruno Carvalho,10,5,0,172.72,69.85,172.72,Orthodox,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,38
Steve Byrnes,6,1,0,182.88,77.11,182.88,Orthodox,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,38
Aliaskhab Khizriev,14,0,0,175.26,83.91,187.96,Southpaw,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,34
Torrez Finney,7,0,0,172.72,83.91,190.5,Orthodox,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,26
Bill Mahood,20,7,1,190.5,90.72,190.5,Orthodox,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,58
Marius Enache,3,3,0,180.34,70.31,180.34,Orthodox,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9,38
Abongo Humphrey,7,3,0,180.34,92.99,180.34,Orthodox,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,38
Antonio Trocoli,12,3,0,195.58,92.99,208.28,Orthodox,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,34
Hector Urbina,17,10,1,180.34,77.11,185.42,Orthodox,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,37
Gabriel Bonfim,15,1,0,185.42,77.11,182.88,Orthodox,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,27
James Wilks,7,4,0,185.42,77.11,190.5,Orthodox,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,46
Assu Almabayev,18,2,0,162.56,56.7,165.1,Orthodox,3.18,65.0,0.49,77.0,3.67,40.0,0.0,3.7,31
Nyamjargal Tumendemberel,8,0,0,170.18,56.7,180.34,Orthodox,4.43,44.0,3.62,45.0,4.68,38.0,14.0,3.7,27
Jaqueline Amorim,7,1,0,160.02,52.16,172.72,Orthodox,3.42,52.0,1.81,62.0,1.57,23.0,0.0,3.7,29
HyunSung Park,8,0,0,170.18,56.7,167.64,Orthodox,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,29
Igor Gracie,5,4,0,180.34,77.11,180.34,Orthodox,1.86,60.0,0.99,50.0,3.72,50.0,0.0,3.7,38
Brady Fink,2,3,0,182.88,83.01,182.88,Orthodox,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,38
Tatsuya Mizuno,16,12,1,185.42,92.99,185.42,Southpaw,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,43
Per Eklund,14,5,1,177.8,70.31,182.88,Orthodox,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6,38
Daisuke Nakamura,28,19,1,170.18,69.85,170.18,Orthodox,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,44
Brennan Ward,14,5,0,177.8,77.11,180.34,Orthodox,7.2,60.0,2.76,52.0,0.0,0.0,100.0,3.6,38
Ken Kaneko,0,3,0,182.88,73.03,182.88,Orthodox,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,38
Rolando Delgado,11,6,1,190.5,70.31,195.58,Orthodox,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,43
Mike King,5,1,0,190.5,83.91,190.5,Orthodox,4.44,58.0,1.29,72.0,1.75,25.0,40.0,3.5,38
Kit Cope,6,7,0,182.88,77.11,182.88,Orthodox,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,48
Chris Sanford,5,1,0,180.34,83.91,180.34,Orthodox,0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,57
Junie Browning,5,6,0,175.26,70.31,175.26,Orthodox,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,40
Preston Parsons,10,4,0,180.34,77.11,180.34,Orthodox,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,29
Mike Budnik,13,4,0,175.26,65.77,172.72,Orthodox,0.65,52.0,0.95,53.0,0.0,0.0,0.0,3.4,50
Zhang Tiequan,15,4,0,172.72,70.31,175.26,Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,46
Shannon Gugerty,15,7,0,177.8,70.31,180.34,Orthodox,1.25,39.0,1.88,58.0,2.13,27.0,50.0,3.4,43
Allen Berube,4,3,0,172.72,70.31,172.72,Orthodox,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,50
Tim Credeur,12,4,0,190.5,83.91,190.5,Orthodox,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,47
Daisuke Sugie,10,8,1,167.64,72.57,167.64,Orthodox,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,38
Herbert Burns,11,4,0,175.26,65.77,185.42,Orthodox,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3,37
Edwin DeWees,38,17,0,185.42,83.91,185.42,Orthodox,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,42
Ricardo Romero,11,3,0,182.88,92.99,193.04,Orthodox,2.17,55.0,4.77,46.0,1.63,10.0,100.0,3.3,46
Rob Broughton,16,7,1,187.96,120.2,187.96,Orthodox,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,42
Ryuichi Murata,8,3,1,172.72,83.01,172.72,Orthodox,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,38
Roman Zentsov,18,12,0,185.42,104.33,185.42,Orthodox,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,51
Dmitry Sosnovskiy,11,0,0,190.5,108.86,195.58,Orthodox,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,35
Jesse Taylor,31,15,0,182.88,77.11,185.42,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,42
Alexandre Dantas,0,3,0,187.96,107.95,187.96,Orthodox,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,46
Kevin Jousset,9,2,0,187.96,77.11,190.5,Orthodox,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,31
Manny Bermudez,14,2,0,177.8,65.77,180.34,Orthodox,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,30
Eric Lawson,9,5,0,182.88,83.91,182.88,Orthodox,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,38
Sidney Outlaw,8,4,0,172.72,77.11,187.96,Orthodox,0.13,33.0,0.8,71.0,3.0,75.0,0.0,3.0,32
Maiquel Falcao,37,10,0,180.34,83.91,180.34,Orthodox,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0,44
Samandar Murodov,8,0,0,185.42,77.11,190.5,Orthodox,3.41,80.0,0.8,0.0,3.01,100.0,0.0,3.0,25
Katsuaki Furuki,1,1,0,182.88,76.2,182.88,Orthodox,0.27,10.0,2.67,39.0,0.0,0.0,0.0,3.0,38
Matt Secor,8,4,0,182.88,77.11,182.88,Orthodox,0.51,20.0,0.81,50.0,3.03,100.0,0.0,3.0,38
Danny Mitchell,19,9,1,187.96,77.11,187.96,Orthodox,2.53,49.0,2.53,52.0,0.0,0.0,100.0,3.0,38
Adam Piccolotti,9,0,0,180.34,70.31,180.34,Orthodox,4.61,50.0,2.83,71.0,2.96,60.0,100.0,3.0,38
Scott Shaffer,0,1,0,170.18,65.77,170.18,Orthodox,2.4,67.0,0.53,50.0,0.0,0.0,72.0,3.0,38
Raymond Daniels,0,1,0,187.96,83.91,187.96,Southpaw,0.0,0.0,2.61,38.0,0.0,0.0,33.0,3.0,38
Fabiano Iha,9,5,0,172.72,70.31,172.72,Orthodox,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,54
Jan Nortje,2,6,0,185.42,140.61,185.42,Southpaw,3.32,51.0,4.5,32.0,0.0,0.0,66.0,2.9,49
Will Ribeiro,10,2,0,172.72,61.23,172.72,Orthodox,1.83,28.0,1.64,74.0,1.15,100.0,50.0,2.9,42
Anthony Hernandez,11,2,0,182.88,83.91,190.5,Orthodox,4.33,62.0,3.36,46.0,6.79,57.0,63.0,2.9,31
Marcus Jones,4,2,0,198.12,120.2,198.12,Orthodox,1.94,52.0,2.71,58.0,8.71,75.0,0.0,2.9,51
Tatsuro Taira,14,0,0,170.18,56.7,177.8,Orthodox,3.23,69.0,1.26,47.0,2.41,41.0,60.0,2.8,25
Jason High,21,6,0,172.72,70.31,185.42,Southpaw,1.28,42.0,1.56,48.0,2.36,63.0,37.0,2.8,43
Mike Nickels,9,5,0,193.04,92.99,193.04,Orthodox,4.44,52.0,1.11,64.0,11.11,80.0,0.0,2.8,53
Shaheen Santana,6,1,0,185.42,70.31,190.5,Orthodox,0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,33
Sam Patterson,10,2,1,190.5,70.31,198.12,Orthodox,2.56,36.0,3.98,44.0,0.0,0.0,33.0,2.8,28
Rei Tsuruya,8,0,0,167.64,56.7,172.72,Orthodox,2.91,63.0,1.64,42.0,7.74,57.0,50.0,2.8,22
Yoshiyuki Yoshida,18,9,0,180.34,77.11,177.8,Southpaw,0.85,36.0,3.67,36.0,1.41,28.0,25.0,2.8,50
Nadia Kassem,5,2,0,165.1,56.7,167.64,Southpaw,3.13,41.0,4.48,48.0,0.46,33.0,40.0,2.8,29
Rinya Nakamura,8,0,0,170.18,61.23,172.72,Southpaw,4.23,54.0,1.78,70.0,4.23,85.0,100.0,2.8,30
Ron Waterman,16,6,2,187.96,127.01,187.96,Orthodox,0.84,50.0,1.37,42.0,4.19,69.0,50.0,2.8,59
Abel Cullum,20,6,0,170.18,63.05,170.18,Orthodox,1.82,40.0,1.23,46.0,4.01,52.0,0.0,2.8,37
Andre Galvao,5,2,0,170.18,76.2,170.18,Orthodox,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8,42
Dan Lauzon,17,6,0,177.8,70.31,177.8,Orthodox,1.34,25.0,4.09,61.0,1.63,33.0,80.0,2.7,36
Darrick Minner,26,14,0,170.18,65.77,175.26,Orthodox,2.63,65.0,2.28,35.0,2.4,72.0,66.0,2.7,34
Edson Berto,17,12,1,167.64,70.31,167.64,Orthodox,1.76,36.0,4.62,47.0,5.47,40.0,0.0,2.7,41
Khamzat Chimaev,13,0,0,187.96,83.91,190.5,Orthodox,5.72,58.0,3.46,42.0,3.99,46.0,100.0,2.7,30
Carlton Jones,1,4,0,185.42,102.06,185.42,Orthodox,2.32,41.0,3.58,56.0,4.02,50.0,57.0,2.7,38
Charles Oliveira,34,9,0,177.8,70.31,187.96,Orthodox,3.54,53.0,3.19,51.0,2.32,40.0,55.0,2.7,35
Matt Horwich,30,25,1,185.42,83.91,185.42,Orthodox,1.11,62.0,2.16,38.0,0.33,9.0,28.0,2.7,46
Charles McCarthy,10,5,0,177.8,83.91,180.34,Orthodox,0.18,12.0,4.03,56.0,2.67,60.0,0.0,2.7,44
Jeff Bedard,13,3,0,167.64,65.77,167.64,Orthodox,0.8,51.0,0.0,100.0,3.43,66.0,100.0,2.6,55
Roybert Echeverria,7,1,0,165.1,56.7,170.18,Switch,2.95,53.0,2.52,57.0,0.0,0.0,71.0,2.6,29
Julian Marquez,9,4,0,187.96,83.91,182.88,Orthodox,4.86,44.0,4.99,51.0,0.0,0.0,53.0,2.6,34
Allan Goes,10,5,2,182.88,92.99,182.88,Orthodox,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6,53
Joseph Morales,9,2,0,167.64,56.7,175.26,Switch,1.58,37.0,1.72,60.0,0.53,50.0,23.0,2.6,30
Nick Thompson,38,14,1,185.42,77.11,187.96,Orthodox,1.87,42.0,1.8,49.0,1.06,100.0,35.0,2.6,43
Dustin Pague,12,11,0,175.26,61.23,187.96,Orthodox,1.65,53.0,2.96,41.0,1.03,44.0,55.0,2.6,37
Coty Wheeler,14,5,0,167.64,61.23,170.18,Orthodox,1.88,22.0,3.16,59.0,0.87,37.0,33.0,2.6,46
Lu Kai,8,5,0,175.26,65.77,175.26,Orthodox,3.76,43.0,5.51,55.0,2.62,50.0,100.0,2.6,31
Renato Sobral,37,11,0,185.42,92.99,190.5,Orthodox,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,49
Daniel Roberts,15,7,0,177.8,77.11,187.96,Southpaw,0.73,20.0,2.27,46.0,2.46,44.0,40.0,2.5,44
Keigo Kunihara,3,2,0,182.88,106.59,182.88,Orthodox,0.17,10.0,1.99,57.0,4.97,40.0,100.0,2.5,38
Jeimeson Saudino,8,5,0,167.64,61.23,167.64,Orthodox,0.66,30.0,0.82,84.0,2.47,50.0,0.0,2.5,38
Marloes Coenen,23,8,0,175.26,65.77,170.18,Orthodox,2.15,51.0,1.9,67.0,0.82,30.0,41.0,2.5,38
Daniel Spohn,15,6,0,193.04,92.99,200.66,Southpaw,2.42,49.0,1.6,53.0,0.0,0.0,28.0,2.5,40
